,GeoName,Year,Real GDP per capita,log GDP per capita
59,DE,2002,29780.0,10.301592306238
60,DK,2002,42520.0,10.657729832455884
61,EE,2002,8640.0,9.064157861798101
62,EL,2002,18690.0,9.835743900449609
63,ES,2002,22630.0,10.027031738627583
64,FI,2002,31690.0,10.363756452684967
65,FR,2002,29210.0,10.282266395381786
66,HR,2002,8990.0,9.103868127465667
67,HU,2002,8680.0,9.068776807654396
68,IE,2002,35930.0,10.489327880107565
69,IT,2002,28180.0,10.246367785452671
70,LT,2002,6050.0,8.707813551024888
71,LU,2002,75500.0,11.231887935237117
72,LV,2002,6120.0,8.719317375506371
73,MT,2002,13760.0,9.529521111487334
74,NL,2002,35650.0,10.481504425842441
75,PL,2002,6710.0,8.811354229965728
76,PT,2002,16490.0,9.710509415553645
77,RO,2002,4350.0,8.37793112408273
78,SE,2002,35270.0,10.470788023230098
79,SI,2002,14720.0,9.596962392282867
80,SK,2002,8430.0,9.039552050995901
81,AT,2003,32340.0,10.384060133131097
82,BE,2003,30680.0,10.331366255481193
83,BG,2003,3620.0,8.194229304819817
84,CY,2003,21520.0,9.976738014275721
85,CZ,2003,12430.0,9.427868184504756
86,DE,2003,29630.0,10.29654264056761
87,DK,2003,42600.0,10.659609532257463
88,EE,2003,9350.0,9.143131622282732
89,EL,2003,19730.0,9.889895599016661
90,ES,2003,22870.0,10.037581287016828
91,FI,2003,32250.0,10.381273322223919
92,FR,2003,29290.0,10.285001439821778
93,HR,2003,9500.0,9.159047077588632
94,HU,2003,9040.0,9.109414453386222
95,IE,2003,36400.0,10.502324053624832
96,IT,2003,28050.0,10.241743910950843
97,LT,2003,6740.0,8.815815203906352
98,LU,2003,76510.0,11.245176730225898
99,LV,2003,6700.0,8.809862805379057
100,MT,2003,14180.0,9.559587800086119
101,NL,2003,35510.0,10.477569625937134
102,PL,2003,6950.0,8.846496938558838
103,PT,2003,16280.0,9.697692639556532
104,RO,2003,4470.0,8.405143687607614
105,SE,2003,35810.0,10.485982462992478
106,SI,2003,15180.0,9.627734050949622
107,SK,2003,8890.0,9.09268232850795
108,AT,2004,32960.0,10.403049984023408
109,BE,2004,31640.0,10.36217742188159
110,BG,2004,3870.0,8.261009786023827
111,CY,2004,22300.0,10.01234195744821
112,CZ,2004,13020.0,9.47424191576256
113,DE,2004,30010.0,10.309285938434412
114,DK,2004,43670.0,10.684416646479606
115,EE,2004,10060.0,9.21632244365373
116,EL,2004,20670.0,9.936438652675815
117,ES,2004,23210.0,10.052338499268483
118,FI,2004,33440.0,10.417508067198638
119,FR,2004,29910.0,10.305948151623994
120,HR,2004,9890.0,9.199279424616758
121,HU,2004,9510.0,9.160099155539436
122,IE,2004,38200.0,10.550590794594667
123,IT,2004,28250.0,10.248848736574587
124,LT,2004,7260.0,8.890135107818843
125,LU,2004,78660.0,11.2728900459858
126,LV,2004,7340.0,8.901094121608562
127,MT,2004,14140.0,9.556762939450564
128,NL,2004,36100.0,10.494048144320972
129,PL,2004,7310.0,8.896998552743824
130,PT,2004,16530.0,9.712932190815069
