,GeoFips,GeoName,Year,Real GDP,Population,state,code,Real GDP per capita,log GDP per capita
75,28000,Mississippi,1998,85193800000.0,2804834.0,Mississippi,MS,30373.918741715195,10.321339583028692
76,29000,Missouri,1998,231693300000.0,5521765.0,Missouri,MO,41960.007352721455,10.644472237741901
77,30000,Montana,1998,30342400000.0,892431.0,Montana,MT,33999.71538415855,10.434107432509101
78,31000,Nebraska,1998,72089600000.0,1695816.0,Nebraska,NE,42510.272340867166,10.657501027845303
79,32000,Nevada,1998,94672800000.0,1853191.0,Nevada,NV,51086.36940283004,10.84127299702486
80,33000,New Hampshire,1998,51538700000.0,1205940.0,New Hampshire,NH,42737.36670149427,10.662828914937002
81,34000,New Jersey,1998,433564000000.0,8287418.0,New Jersey,NJ,52315.93241706886,10.865056238786755
82,35000,New Mexico,1998,66944000000.0,1793484.0,New Mexico,NM,37326.232071208884,10.52745163113812
83,36000,New York,1998,997251900000.0,18755906.0,New York,NY,53170.02015258554,10.881249985520045
84,37000,North Carolina,1998,326786200000.0,7809121.0,North Carolina,NC,41846.73281410289,10.641769003911966
85,38000,North Dakota,1998,23674900000.0,647532.0,North Dakota,ND,36561.745211047484,10.506757759960715
86,39000,Ohio,1998,487532800000.0,11311536.0,Ohio,OH,43100.4949283634,10.6712897592826
87,40000,Oklahoma,1998,117596000000.0,3405194.0,Oklahoma,OK,34534.30259773746,10.449708387247576
88,41000,Oregon,1998,123994700000.0,3352449.0,Oregon,OR,36986.304638787944,10.518302978208206
89,42000,Pennsylvania,1998,509550800000.0,12245672.0,Pennsylvania,PA,41610.68498323326,10.636112263827389
90,44000,Rhode Island,1998,41912500000.0,1031155.0,Rhode Island,RI,40646.1686167453,10.612659857563271
91,45000,South Carolina,1998,139526300000.0,3919235.0,South Carolina,SC,35600.39140291409,10.480111911243561
92,46000,South Dakota,1998,26440400000.0,746058.0,South Dakota,SD,35440.14004273126,10.475600356255546
93,47000,Tennessee,1998,223711300000.0,5570045.0,Tennessee,TN,40163.28413863802,10.600708527382615
94,48000,Texas,1998,925556700000.0,20157531.0,Texas,TX,45916.1739599954,10.734572707835659
95,49000,Utah,1998,85724800000.0,2165960.0,Utah,UT,39578.200890136475,10.586033763099103
96,50000,Vermont,1998,20678000000.0,600416.0,Vermont,VT,34439.455310984384,10.446958142823812
97,51000,Virginia,1998,315091000000.0,6900918.0,Virginia,VA,45659.28764839692,10.728962318744323
98,53000,Washington,1998,288206900000.0,5769562.0,Washington,WA,49952.99469873103,10.818837736208083
99,54000,West Virginia,1998,59847400000.0,1815609.0,West Virginia,WV,32962.713888287624,10.403132319477429
100,55000,Wisconsin,1998,216955900000.0,5297672.0,Wisconsin,WI,40953.06391184656,10.620181907284392
101,56000,Wyoming,1998,25530400000.0,490787.0,Wyoming,WY,52019.3077648756,10.859370231818286
102,01000,Alabama,1999,154900200000.0,4430141.0,Alabama,AL,34965.07221779171,10.462104905566743
103,02000,Alaska,1999,40590500000.0,624779.0,Alaska,AK,64967.772604392914,11.08164661983903
104,04000,Arizona,1999,198699900000.0,5023823.0,Arizona,AZ,39551.53276697845,10.585359727614962
