,GeoName,Year,Real GDP per capita,log GDP per capita
436,Hebei,2008,21497327910.000004,23.791194481100412
437,Shanxi,2008,22671796608.0,23.844387548788863
438,Inner Mongolia,2008,26999098979.999996,24.0190693312828
439,Liaoning,2008,29481510000.0,24.10702912412268
440,Jilin,2008,18617094495.999996,23.647346054514234
441,Heilongjiang,2008,19738021248.0,23.705812625197826
442,Shanghai,2008,72872272272.0,25.011974050686693
443,Jiangsu,2008,41956717128.0,24.459904379282193
444,Zhejiang,2008,42467339250.0,24.472001129203033
445,Anhui,2008,16349686470.000002,23.51747455795902
446,Fujian,2008,30972317316.0,24.156359652672183
447,Jiangxi,2008,16647605280.0,23.535532216001737
448,Shandong,2008,30390632999.999996,24.137400272878327
449,Henan,2008,20079326820.000004,23.72295660630757
450,Hubei,2008,21336948444.0,23.783706075594036
451,Hunan,2008,18748186080.0,23.654362842282982
452,Guangdong,2008,38733563616.0,24.379972338014067
453,Guangxi,2008,14216781502.000002,23.377688899698022
454,Hainan,2008,18424750569.0,23.636960737291098
455,Chongqing,2008,21680904960.000004,23.799697754344113
456,Sichuan,2008,16616814479.999998,23.533680940133042
457,Guizhou,2008,10298330363.999998,23.055247618459756
458,Yunnan,2008,14099475207.999998,23.369403414347097
459,Tibet,2008,14686847994.0,23.410218235967566
460,Shaanxi,2008,20671024920.0,23.751998794316457
461,Gansu,2008,13205403168.0,23.303891913694784
462,Qinghai,2008,18322533720.0,23.631397490122797
463,Ningxia,2008,20272007630.0,23.73250683690634
464,Xinjiang,2008,21341356035.0,23.783912625084202
465,Beijing,2007,67451871042.56,24.9346801589124
466,Tianjin,2007,41290747312.32,24.44390427579227
467,Hebei,2007,19389637501.722004,23.68800461091131
468,Shanxi,2007,19591374883.584003,23.698355249369403
469,Inner Mongolia,2007,23516577728.755997,23.880971444660236
470,Liaoning,2007,26408489612.0,23.996951371616255
471,Jilin,2007,16579480015.097998,23.531431623984314
472,Heilongjiang,2007,17835743261.952,23.604470329234417
473,Shanghai,2007,69545981923.77602,24.965253981163517
474,Jiangsu,2007,37006265416.176,24.33435307082731
475,Zhejiang,2007,39286056579.0,24.394135498439713
476,Anhui,2007,14394688102.314001,23.390125093690994
477,Fujian,2007,28003358823.76,24.05559029791866
478,Jiangxi,2007,14638187956.800001,23.40689956437639
479,Shandong,2007,26745648228.0,24.00963761398868
480,Henan,2007,17724341602.520004,23.59820476354184
481,Hubei,2007,18411060231.072002,23.636217420488183
482,Hunan,2007,16306272322.560001,23.51481567580568
483,Guangdong,2007,35558709293.184,24.29445095034125
