GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hawaii,44541.77767329237,45048.116854298816,45590.816060782105,46249.90900854277,47180.02615027437,48402.4828617889,49745.73771520622,50964.057291257894,51807.11893381851,52178.220450996596,52091.32791016202,51734.41020559982,51423.23030306187,51266.337957642754,51305.71895962152,51542.42099394618,51956.94075420535,52497.117851641204,52998.68931707178,53290.0387629331,53208.81653738388,52727.760065612536,52055.26935942772,51661.89461689986,51419.99185802335
Idaho,31940.88702831461,33226.96496079561,34359.06034207439,35198.69611223908,35933.471256375786,36705.354195332766,37524.12094547938,38229.42376571954,38613.661460208845,38630.793194014,38333.154274071276,37829.15583030325,37383.02261526213,37107.133972608484,37067.346514641824,37264.43078415777,37600.724493825495,38011.769526306285,38509.39262296837,39094.7985315751,39784.62918749044,40517.04543888085,41274.761530382224,42120.68481589251,43015.63566722717
Illinois,48950.13680564635,49883.14426030598,50749.752066952264,51504.81303835265,52227.90492322392,52986.786226304954,53764.067961830966,54453.35060003838,54947.325794827964,55152.073165524554,55101.177818840166,54984.7037590216,55045.9313374982,55334.76663727066,55790.091536839565,56324.31274539312,56913.43648607192,57485.40245403406,58005.243232304674,58517.84135707032,59047.776222571156,59578.9346014558,60227.407877222635,61238.77826149082,62411.6897664269
Indiana,41143.3885074421,41859.32890954772,42544.90229782346,43197.555978241,43944.58531892099,44776.74102902281,45550.23594115226,46113.18417434557,46409.72953031758,46404.43366164724,46117.828163570564,45772.188256064575,45705.95144404305,45857.84189006021,46186.89091442259,46652.464395015035,47169.037351036444,47657.27270045832,48158.94632208919,48663.99291781137,49136.91414393837,49533.47709002815,49948.48106488701,50546.993839012204,51215.68817831012
Iowa,39029.97617588441,39944.36967397452,40902.21668973172,41945.8711611304,43233.42992269228,44784.633956224585,46425.167463289676,47828.760912517784,48823.80710553921,49389.344508803086,49554.36805313084,49600.34886786876,49829.392479461734,50319.46766884866,51048.74268596654,51888.939525111215,52772.876071787134,53504.853636810905,53985.75464093994,54286.319776208795,54495.81430871749,54663.05326095085,54873.04669344474,55194.92826993549,55491.27545030752
Kansas,40763.76598143206,41318.167921823864,41856.18892874638,42381.847630822755,42975.38722225618,43705.50943332282,44616.13843344806,45703.14693071676,46809.94478799501,47691.412141325054,48162.183203095454,48285.81728599736,48370.52401787203,48580.34390649377,48936.06862700191,49460.357403332004,50194.635074673075,51081.41540144595,52019.365080031275,52880.67248296093,53615.287085613076,54212.00840242645,54744.632017271746,55329.595663347856,55947.894562249996
Kentucky,37802.86058227728,37840.24634972626,37882.25931658098,38075.58094121266,38492.16988849622,39083.54864294517,39731.437523570596,40281.69478038863,40577.07780898227,40563.33341851586,40355.084779120574,40132.45202797561,40101.35406363903,40224.93182140136,40443.28818865941,40688.95149639233,40910.307563974515,41122.07727333835,41349.57355909415,41624.79548223625,41972.390424168494,42403.405120852025,42914.14955086681,43580.44760349629,44299.33030165086
Louisiana,46291.420486107905,46522.26467574241,46827.40108392697,47439.85432077133,48460.833352782734,49855.34190923872,51415.410875955415,52804.82832406937,53640.20070810967,53751.5717698613,53515.78629911988,53133.19481325995,52615.738091240644,51895.400220255804,51175.53277642479,50570.22722234462,50186.42745654324,49937.56084044393,49807.53758329737,49772.713379949855,49640.41739781355,49234.5575730805,48566.61900641135,47901.47502846933,47246.23681912297
Maine,35398.587079237084,36533.95809163885,37614.546162740044,38594.39552856732,39484.39499495791,40276.82790691834,40931.902972871794,41359.32509342303,41527.77819584062,41452.38400067072,41206.46148941746,40905.64075230819,40644.90800630684,40428.077797367674,40298.7426250489,40302.718593385944,40491.36918322519,40859.849801947814,41393.73526786256,42060.777690233735,42839.529906876785,43697.11402462052,44629.564624777675,45660.63053111759,46699.823436016566
Maryland,44572.76720708478,45913.30324436015,47248.58341483647,48564.04433720566,49840.08758898215,51072.480631292085,52236.96105524653,53240.09685208808,54003.73140183573,54561.91222250181,55002.5744575532,55365.40055603988,55748.32878526687,56083.9186783516,56373.79482502177,56731.80392912565,57248.34817137079,57906.86597067758,58573.656488024775,59058.3228372122,59275.04109963005,59273.848825054716,59211.66091779277,59315.85586532936,59473.19890842237
